Sukunimi;Nimenhaltijoita yhteensä
Hakula;134
Hietaoja;134
Keisanen;134
Koirikivi;134
Koskivaara;134
Kynsijärvi;134
Lipsonen;134
Mäkimattila;134
Painilainen;134
Pura;134
Rahman;134
Rimpioja;134
Sario;134
Storgård;134
Sundbäck;134
Vatka;134
Willström;134
Ylösmäki;134
Ääri;134
Antinaho;133
Böckerman;133
Heikkola;133
Herukka;133
Huhtaniska;133
Huunonen;133
Kanervisto;133
Kavonius;133
Kenttämaa;133
Lundmark;133
Murtovaara;133
Mustamäki;133
Mäkirinta;133
Pekuri;133
Penna;133
Poropudas;133
Putus;133
Pyymäki;133
Riekkola;133
Rötkö;133
Sandås;133
Saviluoto;133
Suontama;133
Taari;133
Vanonen;133
Vu;133
Vuorenoja;133
Autioniemi;132
Avelin;132
Hellqvist;132
Jussilainen;132
Kiimalainen;132
Konsti;132
Korkeaniemi;132
Kostiander;132
Kupias;132
Kurttio;132
Ljungqvist;132
Luhta;132
Luojus;132
Nokela;132
Nättinen;132
Pajulahti;132
Pietiäinen;132
Qvintus;132
Sakari;132
Savelius;132
Teivainen;132
Teronen;132
Torvela;132
Tusa;132
Ulander;132
Uutinen;132
Vainiola;132
Viander;132
Viksten;132
Äärelä;132
Bengtsson;131
Bergius;131
Federley;131
Hagberg;131
Harlin;131
Heinisuo;131
Herronen;131
Holck;131
Jauhola;131
Kaitainen;131
Keskisaari;131
Kniivilä;131
Korpisaari;131
Kossi;131
Kovaniemi;131
Leväniemi;131
Mara;131
Matala;131
Mattola;131
Meinander;131
Mieskonen;131
Modig;131
Muotio;131
Norrbacka;131
Nuppola;131
Orjala;131
Pakonen;131
Patala;131
Pikkuhookana;131
Pyhältö;131
Rajasalo;131
Ravattinen;131
Räbinä;131
Siven;131
Strandvall;131
Supperi;131
Tuoma;131
Vatjus;131
Westberg;131
Zitron;131
Ärling;131
Ala;130
Brunila;130
Byskata;130
Dahlblom;130
Estola;130
Friis;130
Haarahiltunen;130
Harmoinen;130
Hertell;130
Hietapakka;130
Idström;130
Kapulainen;130
Kaunonen;130
Koramo;130
Kotomäki;130
Lapveteläinen;130
Larinen;130
Matveinen;130
Multisilta;130
Nirkko;130
Norri;130
Nyfelt;130
Onkalo;130
Otranen;130
Puhto;130
Pukarinen;130
Pyylampi;130
Ramberg;130
Rapatti;130
Rieppo;130
Rintaniemi;130
Taskula;130
Tiljander;130
Torni;130
Torsti;130
Urhonen;130
Välkkilä;130
Äyräväinen;130
Aikkila;129
Ajo;129
Bodbacka;129
Haili;129
Harjuniemi;129
Ihander;129
Ivars;129
Joenpolvi;129
Järnefelt;129
Katiska;129
Kemell;129
Kropsu;129
Kärenlampi;129
Laapio;129
Latvaniemi;129
Laulaja;129
Leinikka;129
Leväinen;129
Lohva;129
Länsimäki;129
Nemlander;129
Pöllä;129
Pöykiö;129
Ramsay;129
Rintaluoma;129
Ruth;129
Sarvela;129
Siipo;129
Sällström;129
Törrö;129
Valikainen;129
Waltari;129
Vavuli;129
Vuorivirta;129
Allen;128
Ankkuri;128
Antinoja;128
Asiala;128
Bruce;128
Kevin;128
Kirkkomäki;128
Kortesluoma;128
Koskivuori;128
Kuhlberg;128
Kumpunen;128
Kursu;128
Lagerroos;128
Littunen;128
Nalli;128
Norrgrann;128
Reittu;128
Riihimaa;128
Rytilä;128
Sahala;128
Sahla;128
Saksman;128
Sievers;128
Skaffari;128
Sotkasiira;128
Svartström;128
Tiitola;128
Tuulensuu;128
Vedenoja;128
Abdullah;127
Adolfsson;127
Fisk;127
Hasunen;127
Hussi;127
Kallatsa;127
Krigsholm;127
Krooks;127
Kuoppamaa;127
Källman;127
Linnavuori;127
Liuha;127
Lähteenmaa;127
Lönnström;127
Mettänen;127
Munkki;127
Mustikkamaa;127
Myllyharju;127
Mökkönen;127
Ojanaho;127
Paul;127
Paulus;127
Ranta-Nilkku;127
Silen;127
Siukonen;127
Tervakoski;127
Tolkkinen;127
Vapola;127
Veikkanen;127
Vilska;127
Wirkkala;127
Ahlgrén;126
Ahlsved;126
Ahoranta;126
Alarotu;126
Enbuska;126
Eskeli;126
Haldin;126
Kaarlejärvi;126
Kalliala;126
Kaukanen;126
Korvenoja;126
Linjamäki;126
Lintumäki;126
Matkaselkä;126
Mäntykenttä;126
Mäntyranta;126
Poikkeus;126
Purtilo;126
Remsu;126
Siekkeli;126
Simonaho;126
Sippo;126
Taanila;126
Thylin;126
Wallgren;126
Viren;126
Vuojolainen;126
Vuolukka;126
Ahl;125
Ahokangas;125
Ala-Heikkilä;125
Alasaarela;125
Ekonen;125
Finska;125
Hentula;125
Inget;125
Isoherranen;125
Isokallio;125
Kangosjärvi;125
Keskinarkaus;125
Koliseva;125
Kriikkula;125
Lammila;125
Matinlauri;125
Meklin;125
Mitts;125
Moring;125
Märsylä;125
Nokka;125
Nordblom;125
Oravala;125
Palojoki;125
Porvali;125
Pouta;125
Prusila;125
Roppola;125
Sahanen;125
Seilo;125
Simberg;125
Tatti;125
Tavast;125
Tenkula;125
Tick;125
Tumelius;125
Vakkari;125
Valto;125
Wass;125
Wistbacka;125
Aavikko;124
Bui;124
Eerikkilä;124
Huhtasaari;124
Junell;124
Jyrälä;124
Klemelä;124
Korpiaho;124
Kulpakko;124
Kärjä;124
Lamponen;124
Ljungberg;124
Luomi;124
Manu;124
Mikkolainen;124
Pahlman;124
Pajuluoma;124
Paloneva;124
Petman;124
Pikkuaho;124
Pyöriä;124
Ravaska;124
Salmenoja;124
Seurujärvi;124
Styrman;124
Thomasson;124
Tiermas;124
Tuulaniemi;124
Vahter;124
Vihanta;124
Viiperi;124
Visa;124
von Schantz;124
Aarikka;123
Elomäki;123
Fomin;123
Hagelin;123
Herala;123
Hermans;123
Hoisko;123
Honkaranta;123
Humppi;123
Innala;123
Kahlos;123
Kamppila;123
Karihtala;123
Kaur;123
Korjula;123
Luomaranta;123
Nurmesniemi;123
Palttala;123
Peränen;123
Räisä;123
Räisälä;123
Saarainen;123
Sagulin;123
Salonius;123
Sandgren;123
Saraniemi;123
Savikurki;123
Svens;123
Tallbacka;123
Telenius;123
Tikanoja;123
Tilander;123
Tillman;123
Turula;123
Töykkälä;123
Vehkalampi;123
Vihersalo;123
Virkamäki;123
Virranniemi;123
Värtinen;123
Ylén;123
Ylioja;123
Aittokoski;122
Blomgren;122
Blåfield;122
Brax;122
Dammert;122
Dillström;122
Einiö;122
Enström;122
Eskman;122
Faltin;122
Green;122
Halkosaari;122
Högbacka;122
Inha;122
Jounila;122
Kainlauri;122
Kassinen;122
Kastarinen;122
Koivusilta;122
Korpivaara;122
Kumlander;122
Latomaa;122
Lähteenoja;122
Martelius;122
Ossi;122
Perämaa;122
Puusa;122
Pyhäluoto;122
Raikunen;122
Rasinmäki;122
Raukko;122
Reunamo;122
Ruhala;122
Saarikettu;122
Siili;122
Silfvast;122
Skogström;122
Stengård;122
Strömmer;122
Sulkala;122
Suojärvi;122
Säynäjoki;122
Tammivuori;122
Vanhapiha;122
Vilonen;122
Vittaniemi;122
Yli-Suvanto;122
af Hällström;121
Allinen;121
Dahir;121
Hamara;121
Harmainen;121
Hatara;121
Hedlund;121
Holmstedt;121
Kalaoja;121
Keltamäki;121
Keltto;121
Kiesilä;121
Koivurova;121
Koota;121
Korsman;121
Kotiaho;121
Kottonen;121
Käpyaho;121
Lastunen;121
Leiniö;121
Lilleberg;121
Lostedt;121
Merikukka;121
Nortunen;121
Pallas;121
Pistemaa;121
Prusi;121
Puura;121
Pälli;121
Pääjärvi;121
Rissa;121
Ruikka;121
Salimäki;121
Sirenius;121
Svanbäck;121
Svarvar;121
Söderqvist;121
Tolppi;121
Vapalahti;121
Veteli;121
Vihersaari;121
Wolff;121
Vuohtoniemi;121
Yilmaz;121
Ylikojola;121
Aittokallio;120
Alfthan;120
Brännkärr;120
Cederlöf;120
Elfvengren;120
Fyrqvist;120
Haahti;120
Joro;120
Joutsenlahti;120
Junna;120
Jylli;120
Karilahti;120
Kivipuro;120
Kuuskoski;120
Kuva;120
Lagerstedt;120
Lahdensivu;120
Laurikkala;120
Lemetyinen;120
Louhivaara;120
Mainio;120
Nevanlinna;120
Onatsu;120
Otava;120
Paulasaari;120
Peuhkurinen;120
Peurasaari;120
Postila;120
Poussa;120
Pyykölä;120
Pyörre;120
Rahnasto;120
Rehu;120
Ritanen;120
Roschier;120
Rydman;120
Sadinmaa;120
Sauna-aho;120
Solla;120
Sundfors;120
Sääksjärvi;120
Tienari;120
Tolppa;120
Turpela;120
Tuuva;120
Tähkä;120
Vasalampi;120
Viherä;120
Ylipahkala;120
Ylisaari;120
Öling;120
Aalto-Setälä;119
Aittoniemi;119
Alinen;119
Andersén;119
Bräysy;119
Eskonen;119
Europaeus;119
Forsgren;119
Hella;119
Himmanen;119
Hokkinen;119
Horn;119
Hölli;119
Irjala;119
Junnonaho;119
Juupaluoma;119
Kukkanen;119
Kuorilehto;119
Kynsilehto;119
Kämäri;119
Lehmusvirta;119
Leppihalme;119
Lovén;119
Muhola;119
Ojutkangas;119
Piittisjärvi;119
Porali;119
Rauhaniemi;119
Rimpinen;119
Ruohomaa;119
Saares;119
Saarilahti;119
Smedman;119
Sonntag;119
Suuriniemi;119
Takaluoma;119
Tervahartiala;119
Toro;119
Toukonen;119
Toura;119
Vigren;119
Vilo;119
Vinkka;119
Visala;119
von Bonsdorff;119
Vääränen;119
Aspfors;118
Fagerudd;118
Finér;118
Granbacka;118
Gyldén;118
Harila;118
Hilliaho;118
Hirsi;118
Kajula;118
Karkkola;118
Keppo;118
Kukkala;118
Kulin;118
Kursula;118
Kärmeniemi;118
Läntinen;118
Löyttyniemi;118
Mölläri;118
Naamanka;118
Palén;118
Pirttikangas;118
Putkuri;118
Rauvala;118
Reima;118
Salmensuu;118
Simontaival;118
Siuko;118
Skogman;118
Wagner;118
Warsame;118
Blomfelt;117
Flander;117
Hannunen;117
Hurmalainen;117
Huru;117
Juottonen;117
Järvistö;117
Kaitajärvi;117
Kalin;117
Karlberg;117
Kreus;117
Kujansivu;117
Leiponen;117
Lunki;117
Luukkala;117
Löfqvist;117
Mantela;117
Ollinen;117
Osara;117
Patteri;117
Peräaho;117
Pessala;117
Rännäli;117
Savelainen;117
Selkee;117
Seppelin;117
Seuranen;117
Sievinen;117
Sokero;117
Takarautio;117
Tyrkkö;117
Urho;117
Vartiamäki;117
Westermark;117
Viisanen;117
Wilhelmsson;117
Bertell;116
Herrgård;116
Hillberg;116
Hoskonen;116
Ingström;116
Inki;116
Juka;116
Kadenius;116
Karisalmi;116
Katavisto;116
Koivuaho;116
Kontoniemi;116
Koukonen;116
Kourunen;116
Krankkala;116
Kämpe;116
Laaksoharju;116
Landen;116
Lassander;116
Leppiaho;116
Linnainmaa;116
Lämpsä;116
Löytönen;116
Mahlakaarto;116
Martinkauppi;116
Palo-oja;116
Puolimatka;116
Reko;116
Rikberg;116
Sonck;116
Tapojärvi;116
Tasa;116
Thomas;116
Tigerstedt;116
Tiili;116
Toriseva;116
Tupamäki;116
Vahlroos;116
Vesterholm;116
Aarni;115
Asukas;115
Gren;115
Gräsbeck;115
Hilonen;115
Hoang;115
Horto;115
Juoperi;115
Kaltio;115
Kangasperko;115
Kantomaa;115
Kivari;115
Korander;115
Kyntäjä;115
Källi;115
Lassus;115
Lietzén;115
Liljander;115
Lindelöf;115
Lintinen;115
Lippo;115
Lundsten;115
Mali;115
Martelin;115
Mäntykangas;115
Näreaho;115
Nääppä;115
Oivo;115
Paldan;115
Penttala;115
Päärni;115
Rova;115
Ruuhonen;115
Suomäki;115
Venemies;115
Välisalo;115
Östring;115
Adamsson;114
Alaruikka;114
Alppi;114
Annila;114
Arajärvi;114
Breilin;114
Elmi;114
Flöjt;114
Fyhr;114
Hankkila;114
Havo;114
Huiskonen;114
Itälä;114
Jansén;114
Kaakkurivaara;114
Kangaskolkka;114
Kariluoto;114
Kilpimaa;114
Kinni;114
Kortet;114
Kömi;114
Lehmuskallio;114
Leikkainen;114
Lintulahti;114
Lyhykäinen;114
Malja;114
Mutta;114
Mässeli;114
Niemimaa;114
Norring;114
Osmala;114
Pantsu;114
Petrov;114
Porttila;114
Puha;114
Pulska;114
Rajalampi;114
Rautavaara;114
Sutelainen;114
Talasmäki;114
Tikanmäki;114
Tillander;114
Vaismaa;114
Vallinen;114
Ylipelkonen;114
Ahto;113
Eteläniemi;113
Frank;113
Fredman;113
Gran;113
Gylling;113
Hallman;113
Hammarén;113
Heini;113
Hellbom;113
Helppolainen;113
Honkamaa;113
Hurula;113
Janger;113
Kytömaa;113
Kälkäinen;113
Laatu;113
Laituri;113
Laukas;113
Lindbom;113
Lindborg;113
Lintilä;113
Matintalo;113
Morko;113
Muje;113
Petäjämäki;113
Piela;113
Pirttijoki;113
Rinnetmäki;113
Rumbin;113
Saarikangas;113
Sauranen;113
Siniluoto;113
Storbjörk;113
Suojala;113
Taberman;113
Tuhkala;113
Värtö;113
Aatola;112
Alikoski;112
Asunta;112
Autto;112
Bergdahl;112
Borenius;112
Bovellan;112
Brusin;112
Günther;112
Hautajoki;112
Helttula;112
Huhdanmäki;112
Huoman;112
Karioja;112
Karppelin;112
Korkalo;112
Kuosku;112
Kuusrainen;112
Lindbäck;112
Lyyski;112
Mild;112
Nevasaari;112
Nokkanen;112
Opas;112
Orbinski;112
Polo;112
Raikamo;112
Rautalahti;112
Sairio;112
Schönberg;112
Suolahti;112
Taurén;112
Tengvall;112
Tervanen;112
Widell;112
Ylisuvanto;112
Arvilommi;111
Avonius;111
Broo;111
Brotkin;111
Dang;111
Degerth;111
Fihlman;111
Filpus;111
Fred;111
Förström;111
Hallila;111
Hattula;111
Jäderholm;111
Klaavo;111
Koivulehto;111
Kopperoinen;111
Lainpelto;111
Latvalehto;111
Matsi;111
Mäkimaa;111
Ojamaa;111
Okker;111
Ollas;111
Paksuniemi;111
Parkkola;111
Pukari;111
Pörhölä;111
Rannanjärvi;111
Rantahalvari;111
Ropo;111
Ruoppa;111
Sarkanen;111
Saxberg;111
Sohkanen;111
Suotula;111
Sved;111
Tarhanen;111
Teini;111
Tsutsunen;111
Töyräs;111
Walker;111
Ventola;111
Virrankoski;111
Väntsi;111
Ylitolonen;111
Åke;111
Adam;110
Ahlblad;110
Ajanki;110
Alajuuma;110
Backas;110
Carpelan;110
Falenius;110
Hannuniemi;110
Harsunen;110
Holtari;110
Hulmi;110
Itäniemi;110
Jylhänkangas;110
Kalliosalo;110
Kataikko;110
Kilpivaara;110
Kivineva;110
Konttaniemi;110
Kostian;110
Kukonlehto;110
Käyrä;110
Lindkvist;110
Långstedt;110
Matomäki;110
Mitikka;110
Muurikainen;110
Niittymaa;110
Nordenswan;110
Pasila;110
Paunu;110
Pellikainen;110
Pirkkanen;110
Puntala;110
Putila;110
Rajajärvi;110
Rokkonen;110
Romberg;110
Rouvari;110
Rökman;110
Salonoja;110
Sipi;110
Stenmark;110
Tanila;110
Thusberg;110
Vaija;110
Wilen;110
Vuorensyrjä;110
Yliselä;110
Anttilainen;109
Enojärvi;109
Hattukangas;109
Hautakorpi;109
Havela;109
Heilimo;109
Hindersson;109
Hirvijärvi;109
Ihme;109
Jolma;109
Kiilunen;109
Korkia-aho;109
Kourula;109
Kurola;109
Kusmin;109
Köhler;109
Lalu;109
Lehmusvaara;109
Littow;109
Lundelin;109
Lähtevänoja;109
Maanselkä;109
Marjomäki;109
Mastosalo;109
Monola;109
Mönkäre;109
Niemiaho;109
Ojakangas;109
Piik;109
Pykälämäki;109
Pääaho;109
Rantalaiho;109
Rosenback;109
Santahuhta;109
Santaniemi;109
Sara-aho;109
Siliämaa;109
Suontakanen;109
Teerikangas;109
Timgren;109
Uppa;109
Virkajärvi;109
Vuojärvi;109
Vähärautio;109
Åkerholm;109
Alahuhta;108
Anjala;108
Berger;108
Ekstrand;108
Hagner;108
Huopana;108
Häll;108
Iskala;108
Kaitanen;108
Kajanne;108
Kalavainen;108
Kantele;108
Kare;108
Karhukorpi;108
Kaya;108
Kelo;108
Kuitto;108
Kuivasniemi;108
Lehtimaa;108
Lintukangas;108
Luhtasela;108
Lusa;108
Lyytikkä;108
Malmgren;108
Merenheimo;108
Mårtensson;108
Nippala;108
Pasto;108
Patanen;108
Pietola;108
Pihkakoski;108
Riekko;108
Saarenheimo;108
Saloheimo;108
Strandell;108
Takku;108
Talala;108
Timmerbacka;108
Vauhkala;108
Vesterberg;108
Vihma;108
Vilminko;108
Ylläsjärvi;108
Åvall;108
Österback;108
Aspelund;107
Aurala;107
Cavén;107
Haapapuro;107
Hauta;107
Helaakoski;107
Honkimaa;107
Hossain;107
Huldin;107
Häger;107
Ilvesluoto;107
Ivanova;107
Joenperä;107
Kalijärvi;107
Katajamaa;107
Kaukovalta;107
Killström;107
Kiskonen;107
Laitonen;107
Landström;107
Lidman;107
Linde;107
Lindsten;107
Luomanperä;107
Malmlund;107
Matinlompolo;107
Mustafa;107
Nurmiainen;107
Paasivirta;107
Parvinen;107
Pukema;107
Romunen;107
Ruokangas;107
Schulman;107
Sointu;107
Sämpi;107
Tahvonen;107
Talvi;107
Tiura;107
Toiminen;107
Wesslin;107
Virrankari;107
Wulff;107
Zetterman;107
Ahlstrand;106
Alaniemi;106
Ala-Poikela;106
Anttolainen;106
Bexar;106
Bredenberg;106
Casagrande;106
Dyster;106
Hallinen;106
Hautalampi;106
Jaaranen;106
Jahnsson;106
Jousi;106
Kangasjärvi;106
Kettukangas;106
Koppelomäki;106
Kottila;106
Krohn;106
Kutilainen;106
Kyyriäinen;106
Lehtolainen;106
Lepikko;106
Lillrank;106
Merilahti;106
Mettinen;106
Mäkkeli;106
Nordbäck;106
Paalijärvi;106
Piirala;106
Piittinen;106
Pirttiaho;106
Puljujärvi;106
Richter;106
Ruokojärvi;106
Ruottu;106
Ruutikainen;106
Solismaa;106
Stålnacke;106
Takatalo;106
Trast;106
Tynninen;106
Törönen;106
Väihkönen;106
Wärn;106
Östberg;106
Aksila;105
Alopaeus;105
Floman;105
Haaraoja;105
Halko;105
Hed;105
Ilkko;105
Juutila;105
Kaisko;105
Kaulio;105
Kingelin;105
Koistila;105
Koste;105
Kotikangas;105
Kylmä;105
Käpynen;105
Limma;105
Linder;105
Linja;105
Linjala;105
Ljung;105
Långbacka;105
Malaska;105
Muurman;105
Parkkamäki;105
Peci;105
Poikselkä;105
Putaala;105
Rantio;105
Rautjärvi;105
Ridanpää;105
Sandén;105
Sarjanoja;105
Soivio;105
Stewart;105
Sunikka;105
Särs;105
Söderbacka;105
Tallus;105
Tienvieri;105
Vaari;105
Viitakoski;105
Vikholm;105
Vilkkilä;105
Wiman;105
Vo;105
Välipakka;105
Västi;105
Ylitolva;105
Änäkkälä;105
Aulin;104
Bonn;104
Böhm;104
Ehrnsten;104
Filppu;104
Forsbom;104
Hatula;104
Heusala;104
Hievanen;104
Holmborg;104
Horsma;104
Iitti;104
Ilmoniemi;104
Ivanov;104
Jaanu;104
Kangasoja;104
Kauttio;104
Keski-Korpi;104
Kiikeri;104
Knuutti;104
Kostamovaara;104
Liutu;104
Musse;104
Mustasilta;104
Mömmö;104
Nukala;104
Oljemark;104
Palani;104
Parta;104
Pohjoismäki;104
Rautaoja;104
Rönni;104
Saarilampi;104
Saxén;104
Seikola;104
Selänne;104
Skrifvars;104
Strömsholm;104
Sysmäläinen;104
Tanttari;104
Tihveräinen;104
Tohka;104
Torro;104
Uskali;104
Uurinmäki;104
Vallila;104
Westerling;104
Vihko;104
Väisälä;104
Aartolahti;103
Ahvenus;103
Aliranta;103
Baas;103
Bastman;103
Brunou;103
Demir;103
Flemming;103
Harala;103
Harjamäki;103
Hekkanen;103
Hellstedt;103
Hinkula;103
Houtsonen;103
Huhtamaa;103
Huohvanainen;103
Hydén;103
Hyppölä;103
Hämälä;103
Id;103
Jokilahti;103
Kanala;103
Kannas;103
Kastari;103
Ketoja;103
Kirvesoja;103
Kotti;103
Krapu;103
Kuivinen;103
Kuusio;103
Kuusirati;103
Kyrkkö;103
Kössi;103
Lasonen;103
Maanpää;103
Maarala;103
Mansikkaniemi;103
Mattfolk;103
Meller;103
Nauska;103
Nipuli;103
Nurhonen;103
Nuttunen;103
Papinkivi;103
Piisilä;103
Piuva;103
Pykälistö;103
Pyyny;103
Pätilä;103
Remahl;103
Sahari;103
Salmensuo;103
Savunen;103
Schulz;103
Siippainen;103
Sorola;103
Sundsten;103
Swanljung;103
Thesslund;103
Tillanen;103
Toroskainen;103
Tuhkalainen;103
Turpeenniemi;103
Vihtari;103
Väätämöinen;103
Ylitervo;103
Zhang;103
Airikainen;102
Airisto;102
Björksten;102
Djupsjöbacka;102
Gottberg;102
Gunell;102
Hahtokari;102
Harja;102
Hautamaa;102
Hento;102
Huida;102
Huitula;102
Hypén;102
Inkeri;102
Irri;102
Jokivirta;102
Järvenkylä;102
Kaakko;102
Kallberg;102
Kandelin;102
Kantala;102
Kause;102
Kiljala;102
Kohtanen;102
Konkola;102
Kostilainen;102
Kräkin;102
Kulha;102
Lahdensuu;102
Lapinniemi;102
Lehmikangas;102
Malmstedt;102
Matinaho;102
Maunumäki;102
Mickos;102
Nielikäinen;102
Norman;102
Ohls;102
Piekkala;102
Prami;102
Puolamäki;102
Rehmonen;102
Riittinen;102
Ristaniemi;102
Saatsi;102
Sjölind;102
Suursalmi;102
Träff;102
Wahlstedt;102
Weman;102
Werner;102
Viherkoski;102
Vihermaa;102
Virenius;102
Välinen;102
Ämmänpää;102
Abdulle;101
Alakopsa;101
Andrejeff;101
Appelgren;101
Bauer;101
Bergendahl;101
Björkstrand;101
Brofeldt;101
Hanhivaara;101
Heine;101
Jyrkiäinen;101
Kangaspunta;101
Kieksi;101
Kuivas;101
Lepo;101
Logren;101
Markoff;101
Matela;101
Mettiäinen;101
Mäkivirta;101
Mörn;101
Neste;101
Niini;101
Ojamäki;101
Oravakangas;101
Palmqvist;101
Pasula;101
Raisio;101
Rannanpää;101
Rasinen;101
Ristinen;101
Riuttamäki;101
Saarivuori;101
Suntila;101
Tuohimäki;101
Törnvall;101
Valtola;101
Widberg;101
Vihlman;101
Villgren;101
Ylisaukko-oja;101
Ginman;100
Hillo;100
Holkeri;100
Kailio;100
Kajaste;100
Kalaja;100
Kalsi;100
Karkkonen;100
Kaunismaa;100
Kerälä;100
Kolhonen;100
Korsström;100
Kotaniemi;100
Lange;100
Lecklin;100
Liikonen;100
Luopajärvi;100
Luoti;100
Marjakoski;100
Melamies;100
Miskala;100
Montin;100
Mäki-Mantila;100
Neijonen;100
Nora;100
Pajumäki;100
Palovuori;100
Phan;100
Pohjaranta;100
Poikulainen;100
Raula;100
Risberg;100
Rivinoja;100
Ruohio;100
Ruostetsaari;100
Saali;100
Silmu;100
Skantz;100
Stubb;100
Suninen;100
Taivalmäki;100
Tupeli;100
Vesteri;100
Vilkas;100
Voltti;100
Vuontisjärvi;100
Yli-Hukka;100
Ylikarjula;100
Österåker;100
Aittamaa;99
Alapuranen;99
Artell;99
Berisha;99
Blomstedt;99
Grekula;99
Haapajoki;99
Heinikangas;99
Holtinkoski;99
Häkki;99
Jaala;99
Kaapro;99
Kalinainen;99
Kamsula;99
Kauttu;99
Knaappila;99
Korkee;99
Kuusiluoma;99
Laaksovirta;99
Lasarov;99
Lönnrot;99
Melender;99
Mieskolainen;99
Monthan;99
Mörö;99
Neitola;99
Oesch;99
Onttonen;99
Pankkonen;99
Potinkara;99
Pått;99
Rahtu;99
Remonen;99
Riihilahti;99
Riivari;99
Runsala;99
Röman;99
Sahlstedt;99
Saijets;99
Siiriäinen;99
Siuvatti;99
Skoglund;99
Sonne;99
Säärelä;99
Taavela;99
Tall;99
Tankka;99
Tilvis;99
Törnström;99
Valkjärvi;99
Vasala;99
Ölander;99
Ahosola;98
Andström;98
Blomström;98
Dahlén;98
Haaga;98
Havunen;98
Ingalsuo;98
Itänen;98
Jokivuori;98
Järvenmäki;98
Kahari;98
Kalander;98
Karkulehto;98
Kaurila;98
Keskiniva;98
Klaus;98
Krogell;98
Kullström;98
Kuorelahti;98
Lamsijärvi;98
Latvajärvi;98
Latvasalo;98
Linnamäki;98
Luopa;98
Mankonen;98
Martinez;98
Mursula;98
Mäenranta;98
Oilinki;98
Pajuoja;98
Palmberg;98
Penninkangas;98
Perälampi;98
Piesanen;98
Pihlajasalo;98
Piiponniemi;98
Poola;98
Putto;98
Pöntiö;98
Sjö;98
Spännäri;98
Taittonen;98
Viitavaara;98
Vikkula;98
Virtaniemi;98
Välkky;98
Buss;97
Fagernäs;97
Glader;97
Gull;97
Helen;97
Hemmi;97
Henttula;97
Hevonoja;97
Hiirikoski;97
Jolanki;97
Kaarlenkaski;97
Kietäväinen;97
Kihlman;97
Koivuneva;97
Kortteinen;97
Krohns;97
Kuhalampi;97
Kulojärvi;97
Kyllinen;97
Källström;97
Laajalahti;97
Laitiainen;97
Lamminsalo;97
Lapiolahti;97
Linkola;97
Lumio;97
Luode;97
Moore;97
Myrskog;97
Mäki-Turja;97
Piikki;97
Piilinen;97
Rantasuo;97
Rautelin;97
Reivonen;97
Roman;97
Rosendal;97
Ruonakangas;97
Råstedt;97
Sahin;97
Sahlgren;97
Sahlsten;97
Saurio;97
Sidoroff;97
Siilin;97
Smulter;97
Soila;97
Stellberg;97
Stjernvall;97
Sulku;97
Sulo;97
Svanberg;97
Svenn;97
Syvälahti;97
Tarkki;97
Tillonen;97
Touronen;97
Tulisalo;97
Tyrmi;97
Törmi;97
Töytäri;97
Valovirta;97
Veini;97
Vihervirta;97
Ahtila;96
Anttiroiko;96
Cederström;96
Garcia;96
Haponen;96
Heikkurinen;96
Hiivala;96
Himmelroos;96
Hirvasoja;96
Hosseini;96
Hyrsky;96
Iho;96
Isoranta;96
Juntikka;96
Jönsson;96
Kehus;96
Kelander;96
Keto-Tokoi;96
Kivikari;96
Kukkasniemi;96
Kuurila;96
Laitanen;96
Lampio;96
Lehtivuori;96
Malmelin;96
Mehtomaa;96
Musikka;96
Mäntyjärvi;96
Nelson;96
Notkola;96
Nysten;96
Nätti;96
Paadar;96
Parkatti;96
Pikkumäki;96
Punta;96
Putro;96
Pönniö;96
Rajavaara;96
Rössi;96
Sandin;96
Sassali;96
Schalin;96
Sharma;96
Ståhlström;96
Suurhasko;96
Tantarimäki;96
Tervasmäki;96
Teuho;96
Tiinanen;96
Uusikylä;96
Uusipaikka;96
Vaaja;96
Valkamo;96
Vellamo;96
Veräjänkorva;96
Viinikkala;96
Viirumäki;96
Virola;96
Ylitapio;96
Åvist;96
Alavuotunki;95
Blinnikka;95
Haaramo;95
Helmi;95
Illukka;95
Islam;95
Kaatrasalo;95
Kalilainen;95
Kangaskoski;95
Karjanmaa;95
Karkiainen;95
Katisko;95
Kempe;95
Kirjanen;95
Koivulampi;95
Kumar;95
Kuusimurto;95
Kylmälahti;95
Lampen;95
Laurio;95
Lepikkö;95
Ljunggren;95
Luikku;95
Mahosenaho;95
Mesimäki;95
Mäntykivi;95
Möttö;95
Naulapää;95
Onikki;95
Pankka;95
Panu;95
Papinniemi;95
Piha;95
Prokkola;95
Puharinen;95
Puntti;95
Pusenius;95
Pätynen;95
Pöyhölä;95
Raami;95
Ramula;95
Rautasalo;95
Reinvall;95
Risikko;95
Ritakorpi;95
Runonen;95
Ruppa;95
Rönnkvist;95
Samanen;95
Sibakov;95
Siltamäki;95
Sippu;95
Staffans;95
Sydänmetsä;95
Thompson;95
Thurén;95
Toratti;95
Tuittu;95
Uuskoski;95
Vaitiniemi;95
Vihervä;95
Wihlman;95
Viipuri;95
Wirta;95
Vuolli;95
Väliviita;95
Ånäs;95
Akujärvi;94
Alakurtti;94
Eho;94
Enroos;94
Erlund;94
Esala;94
Esselström;94
Granfelt;94
Hakalax;94
Heiliö;94
Holmkvist;94
Hussain;94
Högnabba;94
